Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2023-10-24,44.6,44.68864320397377
2023-10-25,44.9,45.11062200903892
2023-10-26,41.8,45.73807978093624
2023-10-27,39.2,43.5494855248928
2023-10-30,39.2,41.20504125118255
2023-10-31,39.0,39.59784128546715
2023-11-01,38.45,38.939527654647826
2023-11-02,39.95,38.302369008660314
2023-11-03,40.5,38.89504411399364
2023-11-06,41.0,40.0976188147068
2023-11-07,40.0,41.004440374970436
2023-11-08,41.0,41.014825214147564
2023-11-09,42.9,41.10452050626277
2023-11-10,42.3,42.31935864567756
2023-11-13,41.35,42.807049719095225
2023-11-14,41.0,42.48585897684097
2023-11-15,41.45,41.989033005833626
2023-11-16,41.15,42.109232034683224
2023-11-17,38.95,41.83025539636612
2023-11-20,38.95,40.724811112284655
2023-11-21,39.1,39.65360932826996
2023-11-22,39.0,39.56201884448528
2023-11-23,39.0,39.63278249919414
2023-11-24,39.1,39.808360577225685
2023-11-27,39.8,39.5710228484869
2023-11-28,40.75,39.94904906153678
2023-11-29,41.2,40.55771899461746
2023-11-30,41.3,41.333267191052435
2023-12-01,40.9,41.669840695261954
2023-12-04,41.3,41.60055558502674
2023-12-05,40.5,41.7010376149416
2023-12-06,40.45,41.46299564182758
2023-12-07,39.7,40.926706175804135
2023-12-08,39.65,40.42459837198257
2023-12-11,41.0,40.12673987269401
2023-12-12,41.05,40.65715571939945
2023-12-13,40.75,41.194025910496705
2023-12-14,40.3,41.440705016851425
2023-12-15,39.9,41.248081275224685
2023-12-18,39.9,40.88070721924305
2023-12-19,39.5,40.65276064455509
2023-12-20,39.95,40.358314596414566
2023-12-21,40.2,40.4149509614706
2023-12-22,40.3,40.65162500441074
2023-12-25,41.2,40.8789502954483
2023-12-26,41.9,41.34745900571346
2023-12-27,41.9,42.064617600440975
2023-12-28,43.7,42.39567882537842
2023-12-29,43.2,43.198292497396466
2024-01-02,43.0,43.67177332043647
2024-01-03,43.4,43.63014362871647
2024-01-04,43.45,43.5903556650877
2024-01-05,43.1,43.79571295619011
2024-01-08,43.35,43.72968359351158
2024-01-09,43.0,43.774834507107734
2024-01-10,42.7,43.5964781665802
2024-01-11,42.0,43.29270917654037
2024-01-12,41.3,42.96555816709995
2024-01-15,41.6,42.21401143014431
2024-01-16,42.65,42.072461997866625
2024-01-17,41.9,42.5081956911087
2024-01-18,43.2,42.74813654303551
2024-01-19,43.05,43.21296179711818
2024-01-22,43.0,43.556953833699225
2024-01-23,42.35,43.62160604834556
2024-01-24,42.5,43.36499930858612
2024-01-25,42.1,43.21543033957481
2024-01-26,42.0,42.99304028987884
2024-01-29,41.8,42.87923661112785
2024-01-30,42.0,42.71806788921356
2024-01-31,41.5,42.66775497496128
2024-02-01,41.2,42.489278802275656
2024-02-02,41.2,42.05292566895485
2024-02-05,41.25,41.94143014192581
2024-02-06,41.0,41.85346780717373
2024-02-07,41.8,41.76351441502571
2024-02-15,41.95,41.9883932864666
2024-02-16,42.7,42.431565791368484
2024-02-19,45.55,42.91786681175232
2024-02-20,46.15,44.33530425906181
2024-02-21,45.0,45.6867805558443
2024-02-22,44.8,45.567540184259414
2024-02-23,43.3,45.2947358238697
2024-02-26,43.35,44.466162819266316
2024-02-27,44.2,43.9350501024723
2024-02-28,44.4,44.01456150472164
2024-02-29,43.4,44.39690720617771
2024-03-01,43.95,44.24868957519531
2024-03-04,43.95,44.134762377142906
2024-03-05,43.65,44.256930340528484
2024-03-06,43.1,44.131325959563256
2024-03-07,43.2,43.930330559015275
2024-03-08,42.55,43.61213930785656
2024-03-11,42.55,43.34935844659805
2024-03-12,42.7,43.12533683598041
2024-03-13,42.95,43.086691886782646
2024-03-14,42.9,43.23587186217308
2024-03-15,42.4,43.463556649684904
2024-03-18,42.1,43.186445705890655
2024-03-19,42.9,42.729498033523555
2024-03-20,42.5,42.746453362107275
2024-03-21,42.9,42.8347715061903
2024-03-22,42.8,43.1119543492794
2024-03-25,42.55,43.26844961702823
2024-03-26,42.75,43.19702780723571
2024-03-27,42.5,43.1378657490015
2024-03-28,43.3,43.14022367715835
2024-03-29,42.85,43.43879010796547
2024-04-01,42.9,43.37946028470993
2024-04-02,43.15,43.279293505549425
2024-04-03,43.1,43.211297051906584
2024-04-04,43.0,43.338966233134265
2024-04-05,42.95,43.264220463633535
2024-04-08,43.0,43.154260631799694
2024-04-09,43.2,43.08211614191532
2024-04-10,44.2,43.15935995101928
2024-04-11,44.15,43.70673665702343
2024-04-12,44.5,43.830108472704886
2024-04-15,42.4,44.15503244757652
2024-04-16,42.7,43.43156146347523
2024-04-17,41.8,42.564432001113886
2024-04-19,41.5,42.21574807465076
2024-04-22,41.45,41.596868441700934
2024-04-23,40.2,41.5257305419445
2024-04-24,40.6,41.168957023024554
2024-04-25,40.7,41.057959260344504
2024-04-26,40.8,41.18713648319244
2024-05-02,41.15,41.340012819767
2024-05-03,41.1,41.55135618805885
2024-05-06,41.15,41.76622630894184
2024-05-07,41.05,41.806064049005506
2024-05-08,40.9,41.7848592877388
2024-05-09,40.95,41.58034082174301
2024-05-10,40.35,41.63576042950153
2024-05-13,40.1,41.28437567055225
2024-05-14,40.15,40.78647121012211
2024-05-15,40.25,40.806155024766916
2024-05-16,40.25,40.69889971256256
2024-05-17,40.85,40.70548495054245
2024-05-20,40.45,40.98086846768856
2024-05-21,40.2,41.03167361557483
2024-05-22,40.35,40.80068699121475
2024-05-23,40.55,40.900881423950196
2024-05-24,39.8,40.80782161355018
2024-05-27,39.8,40.57880392372608
2024-05-28,39.95,40.34896768808365
2024-05-29,39.45,40.369152954220766
2024-05-30,39.0,40.270693322420115
2024-05-31,38.85,39.94553152680397
2024-06-03,39.3,39.752469015121456
2024-06-04,39.4,39.82354607701301
2024-06-05,39.3,40.063721062541006
2024-06-06,39.05,40.076544947028154
2024-06-07,39.0,39.92555458426475
2024-06-10,38.9,39.8176429605484
2024-06-11,38.15,39.710269659757614
2024-06-12,38.5,39.201652204394335
2024-06-13,38.25,38.72334491074085
2024-06-14,38.2,38.56102395653724
2024-06-17,38.3,38.60312560260296
2024-06-18,38.3,38.59971499502659
2024-06-19,38.0,38.725380213856695
2024-06-20,38.0,38.60728654384613
2024-06-21,37.75,38.42721383810043
2024-06-24,37.45,38.16202158510685
2024-06-25,37.8,37.90269557714462
2024-06-26,37.5,37.92820692181587
2024-06-27,37.6,38.07914013385773
2024-06-28,37.65,38.18036696672439
2024-07-01,37.7,38.25165235221386
2024-07-02,38.15,38.2354989773035
2024-07-03,38.1,38.55061699450016
2024-07-04,38.45,38.689277549982066
2024-07-05,38.45,38.86507501304149
2024-07-08,38.0,38.929085664749145
2024-07-09,38.3,38.7351400822401
2024-07-10,38.25,38.651854888796805
2024-07-11,38.45,38.68310527205467
2024-07-12,38.5,38.8443864518404
2024-07-15,38.0,39.01882704615593
2024-07-16,37.9,38.85030800402164
2024-07-17,37.3,38.630924819707865
2024-07-18,37.45,38.16212482511997
2024-07-19,37.85,37.838939338326455
2024-07-22,37.9,38.15289774894714
2024-07-23,37.85,38.280756818056105
2024-07-24,37.85,38.33583167791366
2024-07-25,37.8,38.36964831292629
2024-07-26,37.75,38.469439003467556
2024-07-29,37.1,38.42993126273155
2024-07-30,36.7,38.16800581872463
2024-07-31,36.7,37.692014051079745
2024-08-01,36.45,37.44150953352451
2024-08-02,36.0,37.102887821197506
2024-08-05,34.5,36.28197854399681
2024-08-06,34.8,35.162056691646576
2024-08-07,37.2,34.565075002908706
2024-08-08,37.6,35.97194509744644
2024-08-09,37.2,36.68931201577186
2024-08-12,36.5,37.04387509226799
2024-08-13,36.35,36.909908270239825
2024-08-14,37.2,36.656232809424395
2024-08-15,37.85,36.961437941789626
2024-08-16,38.4,37.635049530267715
2024-08-19,38.6,38.2167885684967
2024-08-20,39.4,38.56803874671459
2024-08-21,39.75,39.118914551734925
2024-08-22,39.8,39.493686860799784
2024-08-23,39.75,39.89950307309627
2024-08-26,40.5,40.062922796010966
2024-08-27,41.4,40.51665527939796
2024-08-28,40.9,41.170627298951146
2024-08-29,41.5,41.291550851464265
2024-08-30,41.5,41.45346068918705
2024-09-04,42.5,41.7001029241085
2024-09-05,43.75,42.10085300147533
2024-09-06,43.9,43.14248942673206
2024-09-09,43.0,43.556091042160986
2024-09-10,42.8,43.45989347279072
2024-09-11,43.0,43.20973923385143
2024-09-12,43.1,42.98554432749748
2024-09-13,43.0,43.21436475515365
2024-09-16,41.75,43.32283866822719
2024-09-17,44.0,42.938697327971454
2024-09-18,43.9,43.24686507999897
2024-09-19,44.15,43.91302679538727
2024-09-20,43.75,44.10085725069046
2024-09-23,43.65,44.12713552117347
2024-09-24,44.25,43.684117876291275
2024-09-25,44.15,43.828913838267326
2024-09-26,44.4,44.105691095590586
2024-09-27,43.4,44.349418643712994
2024-09-30,42.8,43.995644615888594
2024-10-01,43.45,43.39759365558624
2024-10-02,43.4,43.43094202339649
2024-10-03,41.6,43.41110887944698
2024-10-04,41.5,42.7981010222435
2024-10-07,41.2,42.010632291436195
2024-10-08,41.6,41.643525553345675
2024-10-09,42.5,41.655368657708166
2024-10-10,42.15,42.30658822476864
2024-10-11,43.6,42.76865180850029
2024-10-14,45.35,43.34113796055317
2024-10-15,44.65,44.820403270721435
2024-10-16,45.0,44.88218504428863
2024-10-17,45.1,44.88297593653202
2024-10-18,45.25,45.122301035523414
2024-10-21,47.8,45.46939764678478
2024-10-22,48.25,46.33390186309814
2024-10-23,47.0,47.289137458801264
2024-10-24,43.85,46.80915067136287
2024-10-25,43.85,45.09696483016014
2024-10-28,42.7,43.8276178073883
2024-10-29,42.75,42.903315500617026
2024-10-30,41.15,42.496164542436595
2024-10-31,41.5,41.76032319247722
2024-11-01,41.5,41.04245113551617
2024-11-04,41.5,41.064140756130215
2024-11-05,41.5,41.005094842910765
2024-11-06,41.55,41.23989028632641
2024-11-07,41.4,41.479099240303036
2024-11-08,40.0,41.58329237997532
2024-11-11,40.6,40.944203514456746
2024-11-12,40.3,40.38660604715347
2024-11-13,40.3,40.45221507549286
2024-11-14,40.35,40.40881186783314
2024-11-15,40.25,40.55534263074398
2024-11-18,40.8,40.4482421785593
2024-11-19,42.2,40.43551415979862
2024-11-20,43.3,41.181327388882636
2024-11-21,43.3,42.01487434983253
2024-11-22,41.6,42.59333920478821
2024-11-25,42.7,41.83098729431629
2024-11-26,42.4,42.01603579998016
2024-11-27,41.9,42.61750105500221
2024-11-28,41.1,42.7592735594511
2024-11-29,40.8,42.473372465968126
2024-12-02,40.75,41.98353363156318
2024-12-03,40.9,41.69049791574478
2024-12-04,40.1,41.584544165134425
2024-12-05,41.4,41.198946403265
2024-12-06,41.5,41.48745430707931
2024-12-09,41.45,41.94961191296577
2024-12-10,40.95,42.1511069214344
2024-12-11,40.85,41.983334525823594
2024-12-12,40.75,41.758684257268904
2024-12-13,40.65,41.592558171153065
2024-12-16,40.95,41.41081150233745
2024-12-17,41.3,41.4875096142292
2024-12-18,40.9,41.73065459370613
2024-12-19,40.2,41.80887733936309
2024-12-20,40.35,41.331729652285574
2024-12-23,40.6,41.0626308709383
2024-12-24,40.35,41.169495345950125
2024-12-25,40.6,41.09298343479633
2024-12-26,40.65,41.19189842879772
2024-12-27,40.35,41.39869739294052
2024-12-30,40.3,41.32412307560443
2024-12-31,40.0,41.192892113924024
2025-01-02,40.0,40.97849394738674
2025-01-03,40.0,40.799319061040876
2025-01-06,40.0,40.65573801279068
2025-01-07,40.0,40.58552742958069
2025-01-08,40.0,40.60567029356956
2025-01-09,40.4,40.62150841772556
2025-01-10,40.0,40.94738183200359
2025-01-13,40.0,40.93825983941555
2025-01-14,40.0,40.52006404340267
2025-01-15,40.0,40.430473834872245
2025-01-16,40.0,40.51576852142811
2025-01-17,40.1,40.71366303443909
2025-01-20,40.0,40.689250458478924
2025-01-21,40.0,40.68410873711109
2025-01-22,39.5,40.65946571469307
2025-01-23,39.5,40.432086960077285
2025-01-24,39.5,40.24703108012676
2025-02-03,39.0,40.16743856072426
2025-02-04,38.75,39.87551267504692
2025-02-05,38.85,39.5563277387619
2025-02-06,38.8,39.557861590385436
2025-02-07,38.75,39.576074234843254
2025-02-10,37.8,39.57461228251457
2025-02-11,37.75,39.121537954211234
2025-02-12,38.0,38.61582228064537
2025-02-13,38.75,38.56077876150608
2025-02-14,38.8,38.91635027170181
2025-02-17,38.8,39.33837885320186
2025-02-18,38.9,39.52099200069904
2025-02-19,39.1,39.65603362500667
2025-02-20,40.55,39.75479375898838
2025-02-21,40.3,40.38915755033493
2025-02-24,40.25,40.80479631245136
2025-02-25,40.75,40.82727866888046
2025-02-26,40.7,41.147685893177986
2025-02-27,41.05,41.28978470981121
2025-02-28,41.2,41.48149219632148
2025-03-03,42.55,41.68784501612186
2025-03-04,42.05,42.261228987574576
2025-03-05,42.7,42.65540304481983
2025-03-06,43.6,42.858395033478736
2025-03-07,44.95,43.4010743188858
2025-03-10,45.3,44.25055711328983
2025-03-11,45.5,44.868933451175685
2025-03-12,46.95,44.99421705067157
2025-03-13,47.8,45.83661684274673
2025-03-14,47.9,46.85037477731704
2025-03-17,47.8,47.31136355876922
2025-03-18,47.3,47.15673214197159
2025-03-19,47.35,47.09888086318969
2025-03-20,47.35,46.80736978113651
2025-03-21,48.25,46.87937231600284
2025-03-24,51.3,47.173090153336524
2025-03-25,51.5,48.805003197193145
2025-03-26,51.5,50.42591564893722
2025-03-27,51.2,50.862772077322006
2025-03-28,51.2,50.953379937410354
2025-03-31,51.3,51.07302773833275
2025-04-01,53.0,51.15604377031326
2025-04-02,53.0,51.99709591150283
2025-04-03,49.3,52.60651802182197
2025-04-04,50.3,50.42110023975372
2025-04-08,47.0,48.47682900547981
2025-04-09,48.5,47.02319118499756
2025-04-10,51.8,46.444868285059925
2025-04-11,53.5,49.28779405713081
2025-04-14,57.2,51.45075344920158
2025-04-15,57.5,54.388562324047086
2025-04-16,56.5,57.00122046470642
2025-04-17,56.8,56.62381922245025
2025-04-18,55.0,56.24061441659927
2025-04-21,55.0,55.29446762919426
2025-04-22,57.5,54.52653154015541
2025-04-23,58.5,55.21496913194656
2025-04-24,61.2,57.12077977418899
2025-04-25,62.3,59.28995200276375
2025-04-28,58.5,61.16758549571037
2025-04-29,58.4,60.43483212828636
2025-05-05,60.9,58.98105788350105
2025-05-06,60.9,59.950662276744836
2025-05-07,62.0,61.060831634998316
2025-05-08,62.199999999999996,61.78436714410782
2025-05-09,62.199999999999996,62.60654111146926
2025-05-12,62.3,62.72983180999755
2025-05-13,62.0,62.792365760803214
2025-05-14,60.4,62.406023195981966
2025-05-15,58.0,61.57402299165725
2025-05-16,58.0,59.31716312050819
2025-05-19,58.8,58.04142996549606
2025-05-20,62.9,58.425423820018764
2025-05-21,67.3,60.45153120040893
2025-05-22,68.1,64.78857778310775
2025-05-23,68.8,67.58060069799423
2025-05-26,73.5,68.79120784044265
2025-05-27,74.3,70.72865417242049
2025-05-28,75.7,73.41847684860228
2025-05-29,76.9,75.26690079212187
2025-05-30,77.6,76.67347222805022
2025-06-02,77.0,78.0401856446266
2025-06-03,77.6,77.89334884881973
2025-06-04,77.1,78.19289974689482
2025-06-05,76.8,78.14490051507948
2025-06-06,76.0,77.6312445783615
2025-06-09,70.7,76.89290150165557
2025-06-10,72.6,73.95883507728576
2025-06-11,72.1,71.91653745055197
2025-06-12,70.0,71.9123820400238
2025-06-13,68.4,70.95731236577033
2025-06-16,67.4,68.84546784162521
2025-06-17,69.6,67.66385639429092
2025-06-18,71.4,68.7095154929161
2025-06-19,71.7,70.44021632432937
2025-06-20,70.2,72.09117530703544
2025-06-23,74.0,71.53131577730178
2025-06-24,77.3,72.44209179878234
2025-06-25,77.9,75.70082594156264
2025-06-26,76.0,77.89502281188963
2025-06-27,77.0,77.68304894208907
2025-06-30,76.7,77.24402078628539
2025-07-01,76.3,77.40337912082671
2025-07-02,76.0,76.96403387069701
2025-07-03,76.3,76.49713091135024
2025-07-04,76.0,76.66875268459319
2025-07-07,76.9,76.67508719682692
2025-07-08,79.2,77.01030751943587
2025-07-09,81.79999999999998,78.67388021945952
2025-07-10,85.99999999999999,81.17725143194198
2025-07-11,87.89999999999999,84.69926973104477
2025-07-14,88.8,88.3627342224121
2025-07-15,87.39999999999999,89.88738273620605
2025-07-16,88.0,89.44168085098265
2025-07-17,94.09999999999998,89.2700590777397
2025-07-18,96.0,92.21286403179168
2025-07-21,92.0,96.30089570283889
2025-07-22,95.5,95.12783105373381
2025-07-23,92.2,94.84684860944746
2025-07-24,92.0,94.62214672088622
2025-07-25,93.7,92.44566288709639
2025-07-28,95.59999999999998,92.924401576519
2025-07-29,92.1,94.80487416982649
2025-07-30,91.5,94.13364447593688
2025-07-31,90.0,92.31750515937804
2025-08-01,89.89999999999999,90.69254422426222
2025-08-04,92.2,89.8954502058029
2025-08-05,96.0,91.18642969846725
2025-08-06,97.49999999999999,94.75658734083174
2025-08-07,95.0,96.6176360630989
2025-08-08,94.79999999999998,96.78048980951309
2025-08-11,93.5,95.65282864332198
2025-08-12,93.0,94.94799432516098
2025-08-13,93.0,93.85656302928923
2025-08-14,93.9,93.23435021877287
2025-08-15,94.0,94.12082796573638
2025-08-18,93.9,95.0885924744606
2025-08-19,93.9,94.378161072731
2025-08-20,98.99999999999999,94.27250229358673
2025-08-21,99.79999999999998,96.74389859914778
2025-08-22,98.09999999999998,99.16189032077789
2025-08-25,98.4,98.66940596103667
2025-08-26,105.19999999999999,99.41579438447951
2025-08-27,104.6,102.44965703010558
2025-08-28,104.6,105.27114759445189
2025-08-29,104.49999999999999,105.62670619964598
2025-09-03,102.69999999999999,105.46484060764311
2025-09-04,102.29999999999998,104.02905962228775
2025-09-05,99.99999999999999,102.61770964860915
2025-09-08,99.99999999999999,101.76788210630416
2025-09-09,101.39999999999999,100.67224009275435
2025-09-10,101.79999999999998,101.02608786344527
2025-09-11,105.89999999999999,101.83034231424331
2025-09-12,105.5,104.04180238962172
2025-09-15,104.49999999999999,105.48133688688277
2025-09-16,102.69999999999999,105.08067714452743
2025-09-17,102.89999999999999,104.44747664690017
2025-09-18,103.49999999999999,103.62706513404845
2025-09-19,101.69999999999999,104.7558324432373
2025-09-22,99.49999999999999,102.91745965242384
2025-09-23,98.69999999999999,99.8864582300186
2025-09-24,97.99999999999999,98.29754280805587
2025-09-25,99.49999999999999,97.40748853206634
2025-09-26,98.99999999999999,98.23571678876876
2025-09-29,101.89999999999999,99.60310863971709
2025-09-30,102.99999999999999,101.33201014518737
2025-10-01,101.19999999999999,103.65196810007095
2025-10-02,98.59999999999998,103.16519881248473
2025-10-03,99.99999999999999,100.95621649742125
2025-10-06,102.69999999999999,99.49772270917892
2025-10-07,103.1,102.27119191884994
2025-10-08,107.5,103.6758091688156
2025-10-09,114.99999999999999,105.61086623191832
2025-10-10,119.99999999999999,111.8602570748329
